text,label
Such a bad this product experience 😠,Negative
Best experience with the movie ever! 👍 #waste,Positive
Worst the delivery I've used,Negative
This ruined my day 😡 the app 😢,Negative
Such a bad the feature experience 😠 #neutral,Negative
I love this! the coffee!!,Positive
"It works, the phone #fail",Neutral
Do not buy the design — complete waste 😢 #waste,Negative
Such a bad the feature experience 😡,Negative
Terrible experience with the update,Negative
Tried the design — neutral feelings 🔁...,Neutral
Totally satisfied with the app 🙌 #sad,Positive
Such a bad the design experience 👎,Negative
Nothing special about the design,Neutral
Nothing special about the restaurant #love,Neutral
This ruined my day 😡 the coffee #okay,Negative
"It works, the coffee #fail...",Neutral
Nothing special about the delivery 😐!,Neutral
"It works, this product 😐",Neutral
Very disappointed in their customer support 😞 #review,Negative
Just a regular the design 😐 #okay,Neutral
Such a great the app! 🙌...,Positive
Totally satisfied with the delivery 😍...,Positive
So happy with the the hotel today 🎉,Positive
Awful quality for the price their customer support 😢,Negative
Terrible experience with the service #musttry,Negative
Totally satisfied with my purchase,Positive
I have no strong opinion on the design #fail,Neutral
Terrible experience with my order 😢 #okay,Negative
Best experience with the design ever! 🙌...,Positive
Unacceptable service from the update #fail!,Negative
I have no strong opinion on the restaurant 🤷,Neutral
Totally satisfied with my order 😍...,Positive
"It is okay, just the restaurant",Neutral
Highly recommend my purchase to everyone 😊,Positive
Standard their customer support as expected,Neutral
This made my day 😄 the coffee #happy,Positive
Unacceptable service from my purchase 👎 #fail,Negative
I used my purchase today #neutral,Neutral
Just a regular their customer support 🤷 #fail,Neutral
"It is okay, just my purchase 🔁",Neutral
Such a great the movie! 👍,Positive
Do not buy their customer support — complete waste 😡!!,Negative
Not happy with this the service at all #okay,Negative
I used the restaurant today!,Neutral
"It works, my order 🔁...",Neutral
Awful quality for the price the feature 😞,Negative
Average experience with the update 😐 #okay,Neutral
Very disappointed in the app,Negative
I have no strong opinion on my purchase 🔁,Neutral
I used the movie today 😐 #neutral,Neutral
Nothing special about the app 🤷,Neutral
Absolutely amazing the feature 👍 👍,Positive
Such a bad the design experience #fail,Negative
Totally satisfied with the movie,Positive
Tried the phone — neutral feelings #happy,Neutral
"It is okay, just the movie 🤷",Neutral
Just a regular their customer support #musttry,Neutral
Worst the delivery I've used #love,Negative
Just a regular the service 😐,Neutral
I love this! the coffee 🙌...,Positive
Nothing special about the phone #review,Neutral
I used their customer support today 🔁,Neutral
Absolutely amazing the app 👍 #fail,Positive
